City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Manvi,IN,2021-03-27 20:39:24,15.9833,77.05,80.49,39,41,5.53
126,Touros,BR,2021-03-27 20:39:24,-5.1989,-35.4608,78.8,89,75,4.61
127,Aklavik,CA,2021-03-27 20:39:24,68.2191,-135.0107,-5.8,65,75,8.05
128,Honiara,SB,2021-03-27 20:39:24,-9.4333,159.95,81.75,76,19,4.18
129,Banda Aceh,ID,2021-03-27 20:39:25,5.5577,95.3222,79.48,77,93,4.83
130,Urubicha,BO,2021-03-27 20:39:25,-15.3833,-62.95,80.71,73,100,1.41
131,Yar-Sale,RU,2021-03-27 20:39:25,66.8333,70.8333,-11.22,100,49,4.79
132,Hailar,CN,2021-03-27 20:39:25,49.2,119.7,35.11,60,39,8.23
133,Verkhnyaya Inta,RU,2021-03-27 20:39:25,65.9811,60.3094,21.58,92,100,17.16
134,Puerto Del Rosario,ES,2021-03-27 20:39:26,28.5004,-13.8627,68.0,73,20,13.8
135,Paramonga,PE,2021-03-27 20:39:26,-10.6667,-77.8333,73.63,74,19,8.14
136,Najran,SA,2021-03-27 20:39:26,17.4924,44.1277,73.4,16,0,3.87
137,Ladan,UA,2021-03-27 20:39:26,50.5196,32.5818,40.5,71,8,2.89
138,Laguna,US,2021-03-27 20:35:53,38.421,-121.4238,73.99,32,1,2.17
139,Barrow,US,2021-03-27 20:39:27,71.2906,-156.7887,-14.8,91,1,2.35
140,Mar Del Plata,AR,2021-03-27 20:39:27,-38.0023,-57.5575,62.01,94,90,21.85
141,Kungurtug,RU,2021-03-27 20:39:27,50.5994,97.5228,8.17,90,13,2.39
142,Batagay-Alyta,RU,2021-03-27 20:39:27,67.8006,130.4114,-3.89,91,100,4.12
143,Barranca,PE,2021-03-27 20:39:28,-10.75,-77.7667,73.22,71,18,7.99
144,Jiangyou,CN,2021-03-27 20:39:28,31.7667,104.7167,56.53,77,0,2.44
145,Ler,SS,2021-03-27 20:39:28,8.3018,30.1418,84.47,42,33,4.23
146,La Tuque,CA,2021-03-27 20:37:18,47.4334,-72.7824,33.8,86,100,4.61
147,General Roca,AR,2021-03-27 20:39:28,-39.0333,-67.5833,78.8,13,0,5.75
148,Kiama,AU,2021-03-27 20:39:29,-34.6833,150.8667,60.01,89,20,1.01
149,Port Hueneme,US,2021-03-27 20:39:29,34.1478,-119.1951,73.4,48,1,12.66
150,Rundu,NA,2021-03-27 20:39:29,-17.9333,19.7667,67.15,80,25,4.41
151,Sao Filipe,CV,2021-03-27 20:39:29,14.8961,-24.4956,69.75,73,1,17.16
152,Svay Rieng,KH,2021-03-27 20:39:29,11.0879,105.7993,78.13,81,43,8.01
153,Niono,ML,2021-03-27 20:39:30,14.2526,-5.993,86.49,9,2,10.67
154,Kruisfontein,ZA,2021-03-27 20:39:30,-34.0033,24.7314,60.01,73,2,3.0
155,Port Hedland,AU,2021-03-27 20:39:30,-20.3167,118.5667,78.8,94,29,5.75
156,Chapais,CA,2021-03-27 20:39:30,49.7834,-74.8492,39.2,38,1,4.61
