City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,16.11,broken clouds
162,Spornoye,RU,50.8448,37.2913,35.6,69,0,4.47,clear sky
163,Poum,NC,-20.2333,164.0167,80.69,74,13,6.49,few clouds
164,Lasa,IT,46.6166,10.7002,46.99,64,0,5.75,clear sky
165,Iranshahr,IR,27.2025,60.6848,80.6,18,64,6.91,broken clouds
166,Souillac,MU,-20.5167,57.5167,75.2,88,20,6.91,few clouds
167,Vila Velha,BR,-20.3297,-40.2925,77.0,83,0,3.44,clear sky
168,Orlik,RU,52.5178,99.825,9.27,86,100,1.19,overcast clouds
169,Zofingen,CH,47.2878,7.9459,44.01,70,40,2.84,scattered clouds
170,Vestmanna,FO,62.1564,-7.1664,41.0,93,40,13.8,scattered clouds
171,Khasan,RU,42.4308,130.6434,43.72,71,85,9.86,overcast clouds
172,Doha,QA,25.2867,51.5333,69.8,49,0,12.66,clear sky
173,Iracoubo,GF,5.4802,-53.2011,77.74,83,96,14.23,overcast clouds
174,Baruun-Urt,MN,46.6806,113.2792,25.68,51,4,5.88,clear sky
175,Moncao,PT,42.0789,-8.4808,62.6,48,0,8.05,clear sky
176,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,20,6.91,few clouds
177,Touros,BR,-5.1989,-35.4608,80.6,83,20,5.75,few clouds
178,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,6.91,clear sky
179,Lewisporte,CA,49.2499,-55.0482,26.6,68,20,5.75,few clouds
180,Garden City,US,42.3256,-83.331,44.6,75,90,17.27,overcast clouds
181,Svetlaya,RU,46.5389,138.3297,32.99,97,100,19.46,light snow
182,Ilulissat,GL,69.2167,-51.1,-9.4,41,0,1.14,clear sky
183,Palaikastron,GR,35.2,26.25,54.0,70,0,11.14,clear sky
184,Camacha,PT,33.0833,-16.3333,62.6,88,40,6.91,scattered clouds
185,Parana,AR,-31.732,-60.5238,66.99,82,86,1.99,overcast clouds
186,Khandyga,RU,62.6667,135.6,11.79,96,97,0.81,overcast clouds
187,Longyearbyen,SJ,78.2186,15.6401,28.4,80,20,11.5,few clouds
188,Chumikan,RU,54.7183,135.315,21.58,93,100,11.27,light snow
189,Guanica,PR,17.9716,-66.908,79.0,70,10,1.99,clear sky
190,Rochegda,RU,62.8,43.25,31.14,85,92,5.32,overcast clouds
191,Kawalu,ID,-7.3817,108.2082,71.8,96,98,1.32,overcast clouds
192,Yumen,CN,40.2833,97.2,42.82,51,38,9.55,scattered clouds
193,Ahipara,NZ,-35.1667,173.1667,70.83,83,46,7.54,light rain
194,Bilibino,RU,68.0546,166.4372,-7.98,88,64,2.06,broken clouds
195,Sur,OM,22.5667,59.5289,83.07,37,92,6.91,overcast clouds
196,Vila Do Maio,CV,15.1333,-23.2167,68.0,77,75,24.16,broken clouds
197,Komsomolskiy,UZ,40.4272,71.7189,50.0,71,75,23.02,heavy intensity rain
198,Joshimath,IN,30.5667,79.5667,53.08,60,26,3.06,scattered clouds
199,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,72,75,9.22,broken clouds
200,Upernavik,GL,72.7868,-56.1549,-23.87,79,23,4.5,few clouds
201,Muisne,EC,0.6,-80.0333,82.4,78,90,5.75,light rain
202,Aksarka,RU,66.5606,67.7975,-20.15,100,74,4.07,broken clouds
203,Cuiluan,CN,47.72,128.648,37.27,98,100,2.86,overcast clouds
204,Sokoto,NG,13.0609,5.239,77.04,13,0,12.1,clear sky
205,Jintur,IN,19.6167,76.7,82.17,14,7,1.23,clear sky
206,Jammalamadugu,IN,14.8333,78.4,78.75,59,64,5.7,broken clouds
207,Puerto Baquerizo Moreno,EC,-0.9,-89.6,80.6,89,20,6.91,few clouds
208,Skibbereen,IE,51.55,-9.2667,51.8,93,90,28.77,overcast clouds
209,Puerto Leguizamo,CO,-0.1934,-74.7819,73.53,96,97,4.32,moderate rain
210,Bonavista,CA,48.6499,-53.1147,27.0,74,38,1.14,scattered clouds
211,Achinsk,RU,56.2694,90.4993,27.77,95,100,4.81,overcast clouds
212,Guayaramerin,BO,-10.8368,-65.3614,73.92,97,96,1.23,moderate rain
213,Manbij,SY,36.5281,37.9549,39.2,70,0,8.12,clear sky
214,Ardmore,US,34.1743,-97.1436,70.0,24,1,8.05,clear sky
215,Mattru,SL,7.6244,-11.8332,78.04,87,51,2.42,light rain
216,Fort Nelson,CA,58.8053,-122.7002,12.2,85,90,16.11,snow
217,Lata,PT,40.1629,-8.3327,57.2,62,0,3.67,clear sky
218,San Jose,US,37.3394,-121.895,80.01,17,20,14.97,few clouds
219,Kalmunai,LK,7.4167,81.8167,77.18,79,93,4.92,overcast clouds
220,Lagoa,PT,39.05,-27.9833,59.56,81,100,16.31,overcast clouds
